LAMMPS data file for NextTissUe simulation
# 900 cells in hexatic lattice, 50 beads per cell

45000 atoms
45000 bonds
1 atom types
1 bond types

-0.1 60.0500000000 xlo xhi
0.3 51.6454988232 ylo yhi
-0.5 0.5 zlo zhi

Masses

1 1.0

Atoms # molecular

1 1 1 12.0500000000 26.8467875174 0.0000000000
2 1 1 12.0456630857 26.7778542389 0.0000000000
3 1 1 12.0327207386 26.7100080795 0.0000000000
4 1 1 12.0113770672 26.6443190134 0.0000000000
5 1 1 11.9819686740 26.5818229966 0.0000000000
6 1 1 11.9449593469 26.5235056286 0.0000000000
7 1 1 11.9009327451 26.4702866091 0.0000000000
8 1 1 11.8505831944 26.4230052339 0.0000000000
9 1 1 11.7947047372 26.3824071584 0.0000000000
10 1 1 11.7341786104 26.3491326385 0.0000000000
11 1 1 11.6699593469 26.3237064334 0.0000000000
12 1 1 11.6030597230 26.3065295295 0.0000000000
13 1 1 11.5345347857 26.2978728168 0.0000000000
14 1 1 11.4654652143 26.2978728168 0.0000000000
15 1 1 11.3969402770 26.3065295295 0.0000000000
16 1 1 11.3300406531 26.3237064334 0.0000000000
17 1 1 11.2658213896 26.3491326385 0.0000000000
18 1 1 11.2052952628 26.3824071584 0.0000000000
19 1 1 11.1494168056 26.4230052339 0.0000000000
20 1 1 11.0990672549 26.4702866091 0.0000000000
21 1 1 11.0550406531 26.5235056286 0.0000000000
22 1 1 11.0180313260 26.5818229966 0.0000000000
23 1 1 10.9886229328 26.6443190134 0.0000000000
24 1 1 10.9672792614 26.7100080795 0.0000000000
25 1 1 10.9543369143 26.7778542389 0.0000000000
26 1 1 10.9500000000 26.8467875174 0.0000000000
27 1 1 10.9543369143 26.9157207959 0.0000000000
28 1 1 10.9672792614 26.9835669553 0.0000000000
29 1 1 10.9886229328 27.0492560214 0.0000000000
30 1 1 11.0180313260 27.1117520382 0.0000000000
31 1 1 11.0550406531 27.1700694062 0.0000000000
32 1 1 11.0990672549 27.2232884257 0.0000000000
33 1 1 11.1494168056 27.2705698009 0.0000000000
34 1 1 11.2052952628 27.3111678764 0.0000000000
35 1 1 11.2658213896 27.3444423963 0.0000000000
36 1 1 11.3300406531 27.3698686014 0.0000000000
37 1 1 11.3969402770 27.3870455053 0.0000000000
38 1 1 11.4654652143 27.3957022180 0.0000000000
39 1 1 11.5345347857 27.3957022180 0.0000000000
40 1 1 11.6030597230 27.3870455053 0.0000000000
41 1 1 11.6699593469 27.3698686014 0.0000000000
42 1 1 11.7341786104 27.3444423963 0.0000000000
43 1 1 11.7947047372 27.3111678764 0.0000000000
44 1 1 11.8505831944 27.2705698009 0.0000000000
45 1 1 11.9009327451 27.2232884257 0.0000000000
46 1 1 11.9449593469 27.1700694062 0.0000000000
47 1 1 11.9819686740 27.1117520382 0.0000000000
48 1 1 12.0113770672 27.0492560214 0.0000000000
49 1 1 12.0327207386 26.9835669553 0.0000000000
50 1 1 12.0456630857 26.9157207959 0.0000000000
51 2 1 13.0500000000 28.5788383248 0.0000000000
52 2 1 13.0456630857 28.5099050463 0.0000000000
53 2 1 13.0327207386 28.4420588869 0.0000000000
54 2 1 13.0113770672 28.3763698208 0.0000000000
55 2 1 12.9819686740 28.3138738040 0.0000000000
56 2 1 12.9449593469 28.2555564360 0.0000000000
57 2 1 12.9009327451 28.2023374165 0.0000000000
58 2 1 12.8505831944 28.1550560413 0.0000000000
59 2 1 12.7947047372 28.1144579658 0.0000000000
60 2 1 12.7341786104 28.0811834459 0.0000000000
61 2 1 12.6699593469 28.0557572408 0.0000000000
62 2 1 12.6030597230 28.0385803369 0.0000000000
63 2 1 12.5345347857 28.0299236242 0.0000000000
64 2 1 12.4654652143 28.0299236242 0.0000000000
65 2 1 12.3969402770 28.0385803369 0.0000000000
66 2 1 12.3300406531 28.0557572408 0.0000000000
67 2 1 12.2658213896 28.0811834459 0.0000000000
68 2 1 12.2052952628 28.1144579658 0.0000000000
69 2 1 12.1494168056 28.1550560413 0.0000000000
70 2 1 12.0990672549 28.2023374165 0.0000000000
71 2 1 12.0550406531 28.2555564360 0.0000000000
72 2 1 12.0180313260 28.3138738040 0.0000000000
73 2 1 11.9886229328 28.3763698208 0.0000000000
74 2 1 11.9672792614 28.4420588869 0.0000000000
75 2 1 11.9543369143 28.5099050463 0.0000000000
76 2 1 11.9500000000 28.5788383248 0.0000000000
77 2 1 11.9543369143 28.6477716033 0.0000000000
78 2 1 11.9672792614 28.7156177627 0.0000000000
79 2 1 11.9886229328 28.7813068288 0.0000000000
80 2 1 12.0180313260 28.8438028456 0.0000000000
81 2 1 12.0550406531 28.9021202136 0.0000000000
82 2 1 12.0990672549 28.9553392331 0.0000000000
83 2 1 12.1494168056 29.0026206083 0.0000000000
84 2 1 12.2052952628 29.0432186838 0.0000000000
85 2 1 12.2658213896 29.0764932037 0.0000000000
86 2 1 12.3300406531 29.1019194088 0.0000000000
87 2 1 12.3969402770 29.1190963127 0.0000000000
88 2 1 12.4654652143 29.1277530254 0.0000000000
89 2 1 12.5345347857 29.1277530254 0.0000000000
90 2 1 12.6030597230 29.1190963127 0.0000000000
91 2 1 12.6699593469 29.1019194088 0.0000000000
92 2 1 12.7341786104 29.0764932037 0.0000000000
93 2 1 12.7947047372 29.0432186838 0.0000000000
94 2 1 12.8505831944 29.0026206083 0.0000000000
95 2 1 12.9009327451 28.9553392331 0.0000000000
96 2 1 12.9449593469 28.9021202136 0.0000000000
97 2 1 12.9819686740 28.8438028456 0.0000000000
98 2 1 13.0113770672 28.7813068288 0.0000000000
99 2 1 13.0327207386 28.7156177627 0.0000000000
100 2 1 13.0456630857 28.6477716033 0.0000000000
101 3 1 14.0500000000 26.8467875174 0.0000000000
102 3 1 14.0456630857 26.7778542389 0.0000000000
103 3 1 14.0327207386 26.7100080795 0.0000000000
104 3 1 14.0113770672 26.6443190134 0.0000000000
105 3 1 13.9819686740 26.5818229966 0.0000000000
106 3 1 13.9449593469 26.5235056286 0.0000000000
107 3 1 13.9009327451 26.4702866091 0.0000000000
108 3 1 13.8505831944 26.4230052339 0.0000000000
109 3 1 13.7947047372 26.3824071584 0.0000000000
110 3 1 13.7341786104 26.3491326385 0.0000000000
111 3 1 13.6699593469 26.3237064334 0.0000000000
112 3 1 13.6030597230 26.3065295295 0.0000000000
113 3 1 13.5345347857 26.2978728168 0.0000000000
114 3 1 13.4654652143 26.2978728168 0.0000000000
115 3 1 13.3969402770 26.3065295295 0.0000000000
116 3 1 13.3300406531 26.3237064334 0.0000000000
117 3 1 13.2658213896 26.3491326385 0.0000000000
118 3 1 13.2052952628 26.3824071584 0.0000000000
119 3 1 13.1494168056 26.4230052339 0.0000000000
120 3 1 13.0990672549 26.4702866091 0.0000000000
121 3 1 13.0550406531 26.5235056286 0.0000000000
122 3 1 13.0180313260 26.5818229966 0.0000000000
123 3 1 12.9886229328 26.6443190134 0.0000000000
124 3 1 12.9672792614 26.7100080795 0.0000000000
125 3 1 12.9543369143 26.7778542389 0.0000000000
126 3 1 12.9500000000 26.8467875174 0.0000000000
127 3 1 12.9543369143 26.9157207959 0.0000000000
128 3 1 12.9672792614 26.9835669553 0.0000000000
129 3 1 12.9886229328 27.0492560214 0.0000000000
130 3 1 13.0180313260 27.1117520382 0.0000000000
131 3 1 13.0550406531 27.1700694062 0.0000000000
132 3 1 13.0990672549 27.2232884257 0.0000000000
133 3 1 13.1494168056 27.2705698009 0.0000000000
134 3 1 13.2052952628 27.3111678764 0.0000000000
135 3 1 13.2658213896 27.3444423963 0.0000000000
136 3 1 13.3300406531 27.3698686014 0.0000000000
137 3 1 13.3969402770 27.3870455053 0.0000000000
138 3 1 13.4654652143 27.3957022180 0.0000000000
139 3 1 13.5345347857 27.3957022180 0.0000000000
140 3 1 13.6030597230 27.3870455053 0.0000000000
141 3 1 13.6699593469 27.3698686014 0.0000000000
142 3 1 13.7341786104 27.3444423963 0.0000000000
143 3 1 13.7947047372 27.3111678764 0.0000000000
144 3 1 13.8505831944 27.2705698009 0.0000000000
145 3 1 13.9009327451 27.2232884257 0.0000000000
146 3 1 13.9449593469 27.1700694062 0.0000000000
147 3 1 13.9819686740 27.1117520382 0.0000000000
148 3 1 14.0113770672 27.0492560214 0.0000000000
149 3 1 14.0327207386 26.9835669553 0.0000000000
150 3 1 14.0456630857 26.9157207959 0.0000000000
151 4 1 1.0500000000 0.8660254038 0.0000000000
152 4 1 1.0456630857 0.7970921253 0.0000000000
153 4 1 1.0327207386 0.7292459659 0.0000000000
154 4 1 1.0113770672 0.6635568998 0.0000000000
155 4 1 0.9819686740 0.6010608830 0.0000000000
156 4 1 0.9449593469 0.5427435150 0.0000000000
157 4 1 0.9009327451 0.4895244955 0.0000000000
158 4 1 0.8505831944 0.4422431203 0.0000000000
159 4 1 0.7947047372 0.4016450448 0.0000000000
160 4 1 0.7341786104 0.3683705249 0.0000000000
161 4 1 0.6699593469 0.3429443198 0.0000000000
162 4 1 0.6030597230 0.3257674159 0.0000000000
163 4 1 0.5345347857 0.3171107032 0.0000000000
164 4 1 0.4654652143 0.3171107032 0.0000000000
165 4 1 0.3969402770 0.3257674159 0.0000000000
166 4 1 0.3300406531 0.3429443198 0.0000000000
167 4 1 0.2658213896 0.3683705249 0.0000000000
168 4 1 0.2052952628 0.4016450448 0.0000000000
169 4 1 0.1494168056 0.4422431203 0.0000000000
170 4 1 0.0990672549 0.4895244955 0.0000000000
171 4 1 0.0550406531 0.5427435150 0.0000000000
172 4 1 0.0180313260 0.6010608830 0.0000000000
173 4 1 -0.0113770672 0.6635568998 0.0000000000
174 4 1 -0.0327207386 0.7292459659 0.0000000000
175 4 1 -0.0456630857 0.7970921253 0.0000000000
176 4 1 -0.0500000000 0.8660254038 0.0000000000
177 4 1 -0.0456630857 0.9349586823 0.0000000000
178 4 1 -0.0327207386 1.0028048417 0.0000000000
179 4 1 -0.0113770672 1.0684939078 0.0000000000
180 4 1 0.0180313260 1.1309899246 0.0000000000
181 4 1 0.0550406531 1.1893072926 0.0000000000
182 4 1 0.0990672549 1.2425263121 0.0000000000
183 4 1 0.1494168056 1.2898076873 0.0000000000
184 4 1 0.2052952628 1.3304057628 0.0000000000
185 4 1 0.2658213896 1.3636802827 0.0000000000
186 4 1 0.3300406531 1.3891064878 0.0000000000
187 4 1 0.3969402770 1.4062833917 0.0000000000
188 4 1 0.4654652143 1.4149401044 0.0000000000
189 4 1 0.5345347857 1.4149401044 0.0000000000
190 4 1 0.6030597230 1.4062833917 0.0000000000
191 4 1 0.6699593469 1.3891064878 0.0000000000
