# Nearby cells for microrheology analysis
# Probe cells: 709, 710
# Format: mol_id x y distance shell_name
680 0.500000 28.578838 1.997219 first_shell
681 1.500000 30.310889 1.998994 first_shell
711 3.500000 30.310889 1.998994 first_shell
740 4.500000 28.578838 2.000000 first_shell
739 3.500000 26.846788 2.000003 first_shell
708 0.500000 25.114737 2.002783 first_shell
738 2.500000 25.114737 2.002783 first_shell
682 2.500000 32.042940 3.462940 second_shell
741 5.500000 30.310889 3.463521 second_shell
769 5.500000 26.846788 3.464683 second_shell
768 4.500000 25.114737 3.465709 second_shell
737 1.500000 23.382686 3.467314 second_shell
652 0.500000 32.042940 3.998994 second_shell
712 4.500000 32.042940 3.998994 second_shell
770 6.500000 28.578838 4.000000 second_shell
767 3.500000 23.382686 4.002782 second_shell
653 1.500000 33.774991 5.290362 second_shell
683 3.500000 33.774991 5.290362 second_shell
742 6.500000 32.042940 5.290742 second_shell
771 7.500000 30.310889 5.291122 second_shell
799 7.500000 26.846788 5.291883 second_shell
798 6.500000 25.114737 5.292263 second_shell
797 5.500000 23.382686 5.293606 second_shell
736 0.500000 21.650635 5.294657 second_shell
766 2.500000 21.650635 5.294657 second_shell
713 5.500000 33.774991 5.998994 second_shell
800 8.500000 28.578838 6.000000 third_shell
796 4.500000 21.650635 6.002782 third_shell
654 2.500000 35.507042 6.927042 third_shell
772 8.500000 32.042940 6.927622 third_shell
828 8.500000 25.114737 6.928784 third_shell
827 7.500000 23.382686 6.929810 third_shell
765 1.500000 19.918584 6.931416 third_shell
624 0.500000 35.507042 7.209986 third_shell
684 4.500000 35.507042 7.209986 third_shell
743 7.500000 33.774991 7.210266 third_shell
801 9.500000 30.310889 7.210824 third_shell
829 9.500000 26.846788 7.211382 third_shell
826 6.500000 21.650635 7.213418 third_shell
795 3.500000 19.918584 7.214189 third_shell
714 6.500000 35.507042 7.998994 third_shell
830 10.500000 28.578838 8.000000 third_shell
825 5.500000 19.918584 8.002782 third_shell
625 1.500000 37.239092 8.716644 third_shell
655 3.500000 37.239092 8.716644 third_shell
773 9.500000 33.774991 8.717106 third_shell
802 10.500000 32.042940 8.717336 third_shell
858 10.500000 25.114737 8.718260 third_shell
857 9.500000 23.382686 8.718490 third_shell
856 8.500000 21.650635 8.719713 third_shell
764 0.500000 18.186533 8.720989 third_shell
794 2.500000 18.186533 8.720989 third_shell
